,tweet
152,"['let', 'get', 'straight', 'mask', 'mandatory', 'smoking', 'legal', 'health', 'right', 'covid', 'nomasks', 'freecountry', 'overit']"
153,"['false', 'average', 'annual', 'death', 'toll', 'flu', 'canada', 'death', 'covid', '19', 'canada', 'six', 'month', 'approaching', 'vaccine', 'natural', 'resistance', 'wash', 'hand', 'keep', 'distance', 'wear', 'mask']"
154,"['shopping', 'gaming', 'meeting', 'like', 'minded', 'individual', 'thelocalnpc', 'wear', 'mask', 'wearamask', 'weareinthistogether', 'staysafe', 'staystrong', 'local', 'npc', 'game', 'amp', 'comic']"
155,"['god', 'hope', 'wear', 'mine', 'time', 'public', 'mask', 'selfies', 'make', 'shudder', 'ill', 'never', 'besides', 'dropped', 'k', 'teeth', 'ha', 'ha']"
156,"['anything', 'staffer', 'wa', 'wrong', 'wearing', 'mask', 'maintaining', 'social', 'distance', 'guideline']"
157,"['supposedly', 'wa', 'wear', 'mask', 'dont', 'need', 'president', 'tell']"
158,"['im', 'sorry', 'elementary', 'student', 'going', 'back', 'school', 'collegesuniversities', 'staying', 'online', 'think', 'capable', 'wearing', 'mask', 'social', 'distancing', 'year', 'old']"
159,"['case', 'yesterday', 'ontario', 'wear', 'mask', 'maybe', 'one', 'day', 'like', 'canadian', 'country', 'might', 'let', 'travel', 'keep', 'pretending', 'virus', 'disappear', 'also', 'dont', 'drink', 'bleach']"
160,"['hard', 'understand', 'stop', 'right', 'wear', 'mask', 'free', 'country', 'idiot', 'donald', 'trump', 'would', 'done', 'job', 'told', 'everybody', 'deal', 'would', 'bad', 'country', 'done']"
161,"['coffeee', 'buy', 'clothes', 'dinner', 'patio', 'part', 'capitalism', 'worker', 'obstacle', 'wear', 'mask', 'ask', 'remember', 'social', 'distance', 'frustration', 'poured', 'u', 'emotional', 'labour', 'wa', 'never', 'taken', 'account']"
162,"['yes', 'brass', 'rail', 'exactly', 'type', 'gentleman', 'club', 'sound', 'like', 'make', 'wonder', 'dancer', 'wearing', 'mask']"
163,"['fuck', 'exposed', 'covid', 'wear', 'mask', 'keep', 'time', 'playsafe', 'maskon']"
164,"['might', 'somewhat', 'anecdotal', 'argument', 'whether', 'wearing', 'maskssocial', 'distancing', 'washing', 'hand', 'work', 'ask', 'simple', 'question', 'last', 'time', 'even', 'seen', 'someone', 'cold', 'unforeseenbenefit']"
165,"['might', 'somewhat', 'anecdotal', 'argument', 'whether', 'wearing', 'maskssocial', 'distancing', 'washing', 'hand', 'work', 'ask', 'simple', 'question', 'last', 'time', 'even', 'seen', 'someone', 'cold', 'unforeseenbenefit']"
166,"['true', 'also', 'true', 'mask', 'stop', 'droplet', 'social', 'distancing', 'work', 'wearing', 'mask', 'wearing', 'mask', 'may', 'prevent', 'spreading', 'virus', 'may', 'unless', 'n', 'respirator', 'got', 'spare', 'one', 'handy']"
167,"['mask', 'regulated', 'reason', 'cause', 'correct', 'application', 'work', 'said', 'wear', 'n', 'respirator', 'etc', 'would', 'open', 'telling', 'must', 'wear', 'dust', 'mask', 'work', 'someone', 'building']"
168,"['tell', 'lot', 'person', 'mask', 'wear']"
